Fund_Name,Month,Date,NAV,Monthly_Return,Monthly_Return_Percent
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2013-01,2013-01-31,101.36,,
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2013-02,2013-02-28,95.25,-0.06028018942383584,-6.028018942383584
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2013-03,2013-03-28,94.81,-0.0046194225721784,-0.46194225721784
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2013-04,2013-04-30,99.75,0.05210420841683372,5.210420841683372
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2013-05,2013-05-31,99.73,-0.00020050125313275657,-0.020050125313275657
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2013-06,2013-06-28,97.52,-0.022159831545172093,-2.2159831545172093
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2013-07,2013-07-31,95.37,-0.02204675963904834,-2.204675963904834
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2013-08,2013-08-30,92.24,-0.03281954493027173,-3.2819544930271727
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2013-09,2013-09-30,97.45,0.0564830875975717,5.64830875975717
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2013-10,2013-10-31,107.03,0.09830682401231394,9.830682401231394
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2013-11,2013-11-29,105.91,-0.01046435578809679,-1.046435578809679
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2013-12,2013-12-31,109.3,0.03200830894155415,3.2008308941554153
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2014-01,2014-01-31,105.09,-0.03851784080512344,-3.8517840805123438
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2014-02,2014-02-28,108.58,0.03320962984108844,3.320962984108844
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2014-03,2014-03-31,117.28,0.08012525326947872,8.012525326947873
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2014-04,2014-04-30,118.06,0.0066507503410642155,0.6650750341064215
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2014-05,2014-05-30,131.33,0.11240047433508393,11.240047433508394
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2014-06,2014-06-30,139.48,0.06205741262468578,6.205741262468578
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2014-07,2014-07-31,140.49,0.0072411815314024075,0.7241181531402408
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2014-08,2014-08-28,145.43,0.035162645028115946,3.5162645028115946
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2014-09,2014-09-30,147.4,0.013546035893557073,1.3546035893557073
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2014-10,2014-10-31,154.46,0.04789687924016284,4.789687924016284
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2014-11,2014-11-28,161.93,0.04836203547844109,4.836203547844109
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2014-12,2014-12-31,159.62,-0.01426542333106895,-1.426542333106895
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2015-01,2015-01-30,170.46,0.06791128931211632,6.791128931211632
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2015-02,2015-02-27,171.18,0.004223864836325308,0.42238648363253084
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2015-03,2015-03-31,166.8,-0.025587101296880466,-2.5587101296880466
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2015-04,2015-04-30,161.95,-0.029076738609112862,-2.907673860911286
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2015-05,2015-05-29,166.78,0.029824019759185028,2.9824019759185028
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2015-06,2015-06-30,166.67,-0.000659551504976652,-0.0659551504976652
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2015-07,2015-07-31,172.33,0.03395932081358377,3.395932081358377
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2015-08,2015-08-31,161.96,-0.06017524516915218,-6.017524516915218
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2015-09,2015-09-30,162.25,0.0017905655717460611,0.1790565571746061
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2015-10,2015-10-30,164.16,0.011771956856702515,1.1771956856702515
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2015-11,2015-11-30,162.7,-0.008893762183235898,-0.8893762183235898
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2015-12,2015-12-31,162.83,0.000799016594960289,0.0799016594960289
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2016-01,2016-01-29,155.87,-0.04274396609961317,-4.274396609961317
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2016-02,2016-02-29,144.56,-0.07256046705587993,-7.256046705587993
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2016-03,2016-03-31,159.88,0.1059767570558936,10.59767570558936
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2016-04,2016-04-29,163.54,0.022892169126845108,2.2892169126845108
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2016-05,2016-05-31,170.01,0.039562186621010076,3.9562186621010076
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2016-06,2016-06-30,174.61,0.02705723192753373,2.705723192753373
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2016-07,2016-07-29,184.36,0.055838726304335395,5.5838726304335395
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2016-08,2016-08-31,189.33,0.02695812540681275,2.695812540681275
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2016-09,2016-09-30,187.16,-0.011461469392066825,-1.1461469392066825
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2016-10,2016-10-28,189.29,0.011380636888223883,1.1380636888223883
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2016-11,2016-11-30,178.19,-0.05864018173173435,-5.864018173173435
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2016-12,2016-12-30,176.66,-0.008586340423143879,-0.8586340423143879
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2017-01,2017-01-31,185.76,0.051511377787841095,5.1511377787841095
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2017-02,2017-02-28,193.2,0.040051679586563305,4.0051679586563305
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2017-03,2017-03-31,200.54,0.037991718426501064,3.7991718426501064
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2017-04,2017-04-28,205.25,0.023486586217213556,2.3486586217213556
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2017-05,2017-05-31,208.22,0.014470158343483641,1.4470158343483641
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2017-06,2017-06-30,209.83,0.0077322063202383,0.77322063202383
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2017-07,2017-07-31,221.15,0.0539484344469332,5.39484344469332
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2017-08,2017-08-31,219.99,-0.005245308614062805,-0.5245308614062805
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2017-09,2017-09-29,217.7,-0.01040956407109428,-1.040956407109428
