Funds,Net Assets (Cr)
Samco Large Cap Fund - Direct Plan,107.00
Nippon India ETF Nifty 50 Shariah BeES,49.00
Taurus Large Cap Fund - Direct Plan,46.00
HDFC NIFTY100 Quality 30 ETF,19.00
HDFC Nifty100 Quality 30 Index Fund - Direct Plan,137.00
Edelweiss Nifty 100 Quality 30 Index Fund - Direct Plan,130.00
Franklin India Large Cap Fund - Direct Plan,"6,821"
ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF - Direct Plan,"1,274"
Nippon India BSE Sensex Next 30 Index Fund - Direct Plan,72.00
Nippon India BSE Sensex Next 30 ETF,5.00
DSP BSE Sensex Next 30 ETF,40.00
DSP BSE Sensex Next 30 Index Fund - Direct Plan,18.00
WhiteOak Capital Large Cap Fund - Direct Plan,"1,045"
BHARAT 22 ETF,"9,797"
ICICI Prudential BHARAT 22 FOF - Direct Plan,"2,585"
Sundaram Large Cap Fund - Direct Plan,"2,889"
DSP NIFTY 50 Equal Weight ETF,"1,055"
Mirae Asset Nifty50 Equal Weight ETF,134.00
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Direct Plan,400.00
ICICI Prudential Nifty50 Equal Weight Index Fund - Direct Plan,214.00
Motilal Oswal Nifty 50 Equal Weight ETF,129.00
Kotak Nifty 100 Low Volatility 30 ETF,163.00
UTI NIFTY50 Equal Weight Index Fund - Direct Plan,136.00
SBI Nifty 50 Equal Weight ETF,33.00
DSP Nifty 50 Equal Weight Index Fund - Direct Plan,"2,255"
HDFC NIFTY50 Equal Weight Index Fund - Direct Plan,"1,559"
SBI Nifty50 Equal Weight Index Fund - Direct Plan,952.00
HDFC NIFTY100 Low Volatility 30 Index Fund - Direct Plan,225.00
HDFC NIFTY100 Low Volatility 30 ETF,11.00
Mirae Asset Nifty 100 Low Volatility 30 ETF,43.00
ICICI Prudential Nifty 100 Low Volatility 30 ETF,"3,305"
SBI Nifty100 Low Volatility 30 Index Fund - Direct Plan,56.00
Kotak Nifty 50 Equal Weight Index Fund - Direct Plan,59.00
Bandhan Nifty100 Low Volatility 30 Index Fund - Direct Plan,"1,580"
Bajaj Finserv Large Cap Fund - Direct Plan,"1,363"
Kotak Nifty 100 Low Volatility 30 Index Fund - Direct Plan,118.00
DSP Large Cap Fund - Direct Plan,"6,620"
ICICI Prudential Large Cap Fund - Direct Plan,"69,948"
Bandhan Large Cap Fund - Direct Plan,"1,821"
Baroda BNP Paribas Large Cap Fund - Direct Plan,"2,344"
Bajaj Finserv Nifty 50 Index Fund - Direct Plan,35.00
PGIM India Large Cap Fund - Direct Plan,501.00
Mahindra Manulife Large Cap Fund - Direct Plan,653.00
Invesco India Largecap Fund - Direct Plan,"1,537"
Axis Large Cap Fund - Direct Plan,"28,661"
Quantum Nifty 50 ETF FoF - Direct Plan,35.00
UTI Large Cap Fund - Direct Plan,"11,203"
Franklin India NSE Nifty 50 Index - Direct Plan,678.00
Axis Nifty 50 Index Fund - Direct Plan,799.00
Zerodha Nifty 50 ETF,52.00
Taurus Nifty 50 Index Fund - Direct Plan,6.00
Edelweiss Nifty 50 ETF,15.00
Groww Nifty 50 ETF,26.00
Angel One Nifty 50 ETF,19.00
Axis Nifty 50 ETF,"1,163"
Nippon India Index Fund - Nifty 50 Plan - Direct Plan,"3,030"
DSP Nifty 50 Index Fund - Direct Plan,909.00
LIC MF Nifty 50 ETF,858.00
Bajaj Finserv Nifty 50 ETF,160.00
ICICI Prudential Nifty 50 Index Fund - Direct Plan,"14,153"
HSBC Nifty 50 Index Fund - Direct Plan,373.00
DSP Nifty 50 ETF,202.00
Aditya Birla Sun Life Nifty 50 Index Fund - Direct Plan,"1,170"
Nippon India ETF Nifty 50 BeES,"57,033"
Groww Nifty 50 Index Fund - Direct Plan,20.00
Quantum Nifty 50 ETF,62.00
Motilal Oswal Nifty 50 ETF,56.00
ICICI Prudential Nifty 50 ETF,"36,877"
Kotak Nifty 50 ETF,"3,092"
Invesco India Nifty 50 ETF,85.00
Aditya Birla Sun Life Nifty 50 ETF,"2,866"
UTI Nifty 50 ETF,"69,607"
SBI Nifty 50 ETF,"1,91,909"
HDFC NIFTY 50 ETF,"4,839"
Mirae Asset Nifty 50 ETF,"4,789"
Tata Nifty 50 Exchange Traded Fund,660.00
LIC MF Nifty 50 Index Fund - Direct Plan,360.00
Bandhan Nifty 50 ETF,21.00
Motilal Oswal Nifty 50 Index Fund - Direct Plan,870.00
Aditya Birla Sun Life Large Cap Fund - Direct Plan,"26,702"
Motilal Oswal Large Cap Fund - Direct Plan,"3,171"
Navi Nifty 50 Index Fund - Direct Plan,"3,573"
Mirae Asset Nifty 50 Index Fund - Direct Plan,52.00
Kotak Nifty 50 Index Fund - Direct Plan,981.00
Bandhan Nifty 50 Index Fund - Direct Plan,"2,228"
JioBlackRock Nifty 50 Index Fund - Direct Plan,219.00
Edelweiss Nifty 50 Index Fund - Direct Plan,250.00
Baroda BNP Paribas NIFTY 50 Index Fund - Direct Plan,54.00
HDFC NIFTY 50 Index Fund - Direct Plan,"20,437"
Angel One Nifty 50 Index Fund - Direct Plan,29.00
UTI Nifty 50 Index Fund - Direct Plan,"27,849"
SBI Nifty Index Fund - Direct Plan,"11,217"
Tata Nifty 50 Index Fund - Direct Plan,"1,380"
Zerodha Nifty 50 Index Fund - Direct Plan,44.00
Axis BSE Sensex Index Fund - Direct Plan,60.00
Canara Robeco Large Cap Fund - Direct Plan,"15,235"
JM Large Cap Fund - Direct Plan,390.00
LIC MF BSE Sensex Index Fund - Direct Plan,91.00
Bank of India Large Cap Fund - Direct Plan,188.00
DSP BSE Sensex ETF,3.00
Kotak BSE Sensex Index Fund - Direct Plan,15.00
Edelweiss BSE Sensex ETF,14.00
Kotak Nifty Top 10 Equal Weight Index Fund - Direct Plan,37.00
Nippon India Large Cap Fund - Direct Plan,"46,521"
SBI BSE 100 ETF,9.00
Axis BSE Sensex ETF,119.00
Navi BSE Sensex Index Fund - Direct Plan,18.00
Aditya Birla Sun Life BSE Sensex ETF,250.00
Nippon India ETF BSE Sensex,"23,263"
ICICI Prudential BSE Sensex ETF,"26,368"
DSP Nifty Top 10 Equal Weight ETF,698.00
Mirae Asset BSE Sensex ETF,40.00
UTI BSE Sensex ETF,"53,796"
SBI BSE Sensex ETF,"1,09,850"
Zerodha BSE SENSEX Index Fund - Direct Plan,13.00
LIC MF BSE Sensex ETF,712.00
