Funds,Expense Ratio (%)
Quant Focused Fund - Direct Plan,1.82
Quant Large Cap Fund - Direct Plan,1.06
Bank of India Large Cap Fund - Direct Plan,1.02
Baroda BNP Paribas Large Cap Fund - Direct Plan,0.79
Tata Large Cap Fund - Direct Plan,0.99
Invesco India Largecap Fund - Direct Plan,0.8
ITI Large Cap Fund - Direct Plan,0.76
Motilal Oswal Large Cap Fund - Direct Plan,0.79
Taurus Large Cap Fund - Direct Plan,2.23
Nippon India Large Cap Fund - Direct Plan,2.75
SBI Large Cap Fund - Direct Plan,0.82
PGIM India Large Cap Fund - Direct Plan,0.89
Bandhan Large Cap Fund - Direct Plan,1.18
Parag Parikh Large Cap Fund - Direct Plan,0.4
Mirae Asset Large Cap Fund - Direct Plan,0.8
Union Largecap Fund - Direct Plan,1.58
Aditya Birla Sun Life Large Cap Fund - Direct Plan,0.95
JM Large Cap Fund - Direct Plan,1.34
Groww Large Cap Fund - Direct Plan,1.37
Canara Robeco Large Cap Fund - Direct Plan,0.59
WhiteOak Capital Large Cap Fund - Direct Plan,1.03
Bajaj Finserv Large Cap Fund - Direct Plan,2.17
UTI Large Cap Fund - Direct Plan,1.17
Kotak Large Cap Fund - Direct Plan,0.8
Edelweiss Large Cap Fund - Direct Plan,0.67
UTI Nifty 50 ETF,0.05
Nippon India ETF Nifty 50 BeES,0.04
ICICI Prudential Nifty 50 ETF,0.03
SBI Nifty 50 ETF,0.04
Kotak Nifty 50 ETF,0.03
DSP Large Cap Fund - Direct Plan,1.57
Aditya Birla Sun Life Nifty 50 ETF,0.04
HDFC NIFTY 50 ETF,0.05
Mirae Asset Nifty 50 ETF,0.07
Kotak Nifty 50 Index Fund - Direct Plan,0.19
Tata Nifty 50 Exchange Traded Fund,0.09
Axis Nifty 50 ETF,0.04
Navi Nifty 50 Index Fund - Direct Plan,0.08
Motilal Oswal Nifty 50 Index Fund - Direct Plan,0.19
UTI Nifty 50 Index Fund - Direct Plan,0.26
DSP Nifty 50 Index Fund - Direct Plan,0.18
Nippon India Index Fund - Nifty 50 Plan - Direct Plan,0.17
Bandhan Nifty 50 Index Fund - Direct Plan,0.12
LIC MF Large Cap Fund - Direct Plan,2.44
SBI Nifty Index Fund - Direct Plan,0.23
HDFC NIFTY 50 Index Fund - Direct Plan,0.31
Axis Nifty 50 Index Fund - Direct Plan,0.21
Tata Nifty 50 Index Fund - Direct Plan,0.23
ICICI Prudential Nifty 50 Index Fund - Direct Plan,0.2
HDFC Large Cap Fund - Direct Plan,1.36
LIC MF Nifty 50 ETF,0.08
Franklin India NSE Nifty 50 Index - Direct Plan,0.29
Aditya Birla Sun Life Nifty 50 Index Fund - Direct Plan,0.18
Axis Large Cap Fund - Direct Plan,0.65
ICICI Prudential Large Cap Fund - Direct Plan,1.2
UTI BSE Sensex ETF,0.05
ICICI Prudential BSE Sensex ETF,0.02
SBI BSE Sensex ETF,0.04
Nippon India ETF BSE Sensex,0.04
LIC MF BSE Sensex ETF,0.11
HDFC BSE Sensex Index Fund - Direct Plan,0.21
ICICI Prudential BSE Sensex Index Fund - Direct Plan,0.2
Nippon India Index Fund BSE Sensex Plan - Direct Plan,0.21
HSBC Large Cap Fund - Direct Plan,1.2
Mahindra Manulife Large Cap Fund - Direct Plan,0.74
Franklin India Large Cap Fund - Direct Plan,1.55
Sundaram Large Cap Fund - Direct Plan,0.71
Samco Large Cap Fund - Direct Plan,0.83
