Fund_Name,Fund_Type
Samco Large Cap Fund - Direct Plan,Active
Taurus Large Cap Fund - Direct Plan,Active
Franklin India Large Cap Fund - Direct Plan,Active
WhiteOak Capital Large Cap Fund - Direct Plan,Active
Sundaram Large Cap Fund - Direct Plan,Active
Bajaj Finserv Large Cap Fund - Direct Plan,Active
DSP Large Cap Fund - Direct Plan,Active
ICICI Prudential Large Cap Fund - Direct Plan,Active
Bandhan Large Cap Fund - Direct Plan,Active
Baroda BNP Paribas Large Cap Fund - Direct Plan,Active
PGIM India Large Cap Fund - Direct Plan,Active
Mahindra Manulife Large Cap Fund - Direct Plan,Active
Invesco India Largecap Fund - Direct Plan,Active
Axis Large Cap Fund - Direct Plan,Active
UTI Large Cap Fund - Direct Plan,Active
Aditya Birla Sun Life Large Cap Fund - Direct Plan,Active
Motilal Oswal Large Cap Fund - Direct Plan,Active
Canara Robeco Large Cap Fund - Direct Plan,Active
JM Large Cap Fund - Direct Plan,Active
Bank of India Large Cap Fund - Direct Plan,Active
Nippon India Large Cap Fund - Direct Plan,Active
Union Largecap Fund - Direct Plan,Active
Kotak Large Cap Fund - Direct Plan,Active
Parag Parikh Large Cap Fund - Direct Plan,Active
Edelweiss Large Cap Fund - Direct Plan,Active
SBI Large Cap Fund - Direct Plan,Active
Groww Large Cap Fund - Direct Plan,Active
HSBC Large Cap Fund - Direct Plan,Active
ITI Large Cap Fund - Direct Plan,Active
Mirae Asset Large Cap Fund - Direct Plan,Active
Tata Large Cap Fund - Direct Plan,Active
LIC MF Large Cap Fund - Direct Plan,Active
HDFC Large Cap Fund - Direct Plan,Active
Quant Large Cap Fund - Direct Plan,Active
Quant Focused Fund - Direct Plan,Active
SBI Nifty 50 ETF,Passive
SBI BSE Sensex ETF,Passive
UTI Nifty 50 ETF,Passive
Nippon India ETF Nifty 50 BeES,Passive
UTI BSE Sensex ETF,Passive
ICICI Prudential Nifty 50 ETF,Passive
UTI Nifty 50 Index Fund - Direct Plan,Passive
ICICI Prudential BSE Sensex ETF,Passive
Nippon India ETF BSE Sensex,Passive
HDFC NIFTY 50 Index Fund - Direct Plan,Passive
ICICI Prudential Nifty 50 Index Fund - Direct Plan,Passive
SBI Nifty Index Fund - Direct Plan,Passive
HDFC BSE Sensex Index Fund - Direct Plan,Passive
HDFC NIFTY 50 ETF,Passive
Mirae Asset Nifty 50 ETF,Passive
Navi Nifty 50 Index Fund - Direct Plan,Passive
Kotak Nifty 50 ETF,Passive
Nippon India Index Fund - Nifty 50 Plan - Direct Plan,Passive
Aditya Birla Sun Life Nifty 50 ETF,Passive
Bandhan Nifty 50 Index Fund - Direct Plan,Passive
ICICI Prudential BSE Sensex Index Fund - Direct Plan,Passive
Tata Nifty 50 Index Fund - Direct Plan,Passive
Aditya Birla Sun Life Nifty 50 Index Fund - Direct Plan,Passive
Axis Nifty 50 ETF,Passive
Kotak Nifty 50 Index Fund - Direct Plan,Passive
DSP Nifty 50 Index Fund - Direct Plan,Passive
Motilal Oswal Nifty 50 Index Fund - Direct Plan,Passive
LIC MF Nifty 50 ETF,Passive
Nippon India Index Fund BSE Sensex Plan - Direct Plan,Passive
Axis Nifty 50 Index Fund - Direct Plan,Passive
LIC MF BSE Sensex ETF,Passive
Franklin India NSE Nifty 50 Index - Direct Plan,Passive
Tata Nifty 50 Exchange Traded Fund,Passive
