Fund_Name,Month,Date,NAV,Monthly_Return,Monthly_Return_Percent
Aditya Birla Sun Life Nifty 50 ETF,July,2011-07-29,54.7665,,
Aditya Birla Sun Life Nifty 50 ETF,August,2011-08-30,50.0749,-0.08566550719874377,-8.566550719874378
Aditya Birla Sun Life Nifty 50 ETF,September,2011-09-30,49.5264,-0.01095359151990316,-1.095359151990316
Aditya Birla Sun Life Nifty 50 ETF,October,2011-10-31,53.3423,0.07704779673063245,7.7047796730632445
Aditya Birla Sun Life Nifty 50 ETF,November,2011-11-30,48.4345,-0.09200578152798067,-9.200578152798066
Aditya Birla Sun Life Nifty 50 ETF,December,2011-12-30,46.3587,-0.042857880230001366,-4.285788023000137
Aditya Birla Sun Life Nifty 50 ETF,January,2012-01-31,52.0935,0.12370493564314788,12.370493564314788
Aditya Birla Sun Life Nifty 50 ETF,February,2012-02-29,53.9213,0.035086911034966084,3.5086911034966084
Aditya Birla Sun Life Nifty 50 ETF,March,2012-03-30,53.0568,-0.01603262532616978,-1.603262532616978
Aditya Birla Sun Life Nifty 50 ETF,April,2012-04-30,52.5388,-0.00976312178646277,-0.976312178646277
Aditya Birla Sun Life Nifty 50 ETF,May,2012-05-31,49.4778,-0.058261703731337544,-5.826170373133754
Aditya Birla Sun Life Nifty 50 ETF,June,2012-06-29,53.2408,0.0760543112264489,7.60543112264489
Aditya Birla Sun Life Nifty 50 ETF,July,2012-07-31,52.8364,-0.007595678502201331,-0.7595678502201331
Aditya Birla Sun Life Nifty 50 ETF,August,2012-08-31,53.1805,0.0065125557380898424,0.6512555738089842
Aditya Birla Sun Life Nifty 50 ETF,September,2012-09-28,57.6581,0.0841962749504046,8.41962749504046
Aditya Birla Sun Life Nifty 50 ETF,October,2012-10-31,56.8208,-0.014521810465485285,-1.4521810465485285
Aditya Birla Sun Life Nifty 50 ETF,November,2012-11-30,59.4545,0.04635098414665051,4.635098414665051
Aditya Birla Sun Life Nifty 50 ETF,December,2012-12-31,59.7133,0.004352908526688459,0.43529085266884593
Aditya Birla Sun Life Nifty 50 ETF,January,2013-01-31,60.9986,0.021524517988454894,2.1524517988454894
Aditya Birla Sun Life Nifty 50 ETF,February,2013-02-28,57.5834,-0.055988170220300226,-5.598817022030023
Aditya Birla Sun Life Nifty 50 ETF,March,2013-03-28,57.5359,-0.0008248905066390311,-0.08248905066390311
Aditya Birla Sun Life Nifty 50 ETF,April,2013-04-30,59.9247,0.04151842588714172,4.151842588714172
Aditya Birla Sun Life Nifty 50 ETF,May,2013-05-31,60.7857,0.014368031880009458,1.4368031880009458
Aditya Birla Sun Life Nifty 50 ETF,June,2013-06-28,59.5058,-0.021055939143581393,-2.1055939143581393
Aditya Birla Sun Life Nifty 50 ETF,July,2013-07-31,58.6759,-0.013946539665041113,-1.3946539665041113
Aditya Birla Sun Life Nifty 50 ETF,August,2013-08-30,56.0368,-0.04497758023311105,-4.497758023311105
Aditya Birla Sun Life Nifty 50 ETF,September,2013-09-30,58.6341,0.046349898638037734,4.634989863803773
Aditya Birla Sun Life Nifty 50 ETF,October,2013-10-31,64.3528,0.09753198224241544,9.753198224241544
Aditya Birla Sun Life Nifty 50 ETF,November,2013-11-29,63.1153,-0.019229932497109803,-1.9229932497109803
Aditya Birla Sun Life Nifty 50 ETF,December,2013-12-31,64.3605,0.01972897221434433,1.9728972214344331
Aditya Birla Sun Life Nifty 50 ETF,January,2014-01-31,62.2689,-0.03249819376791663,-3.2498193767916628
Aditya Birla Sun Life Nifty 50 ETF,February,2014-02-28,64.2266,0.03143945051221397,3.1439450512213973
Aditya Birla Sun Life Nifty 50 ETF,March,2014-03-31,68.5234,0.06690062995705803,6.690062995705803
Aditya Birla Sun Life Nifty 50 ETF,April,2014-04-30,68.3696,-0.002244488743990969,-0.2244488743990969
Aditya Birla Sun Life Nifty 50 ETF,May,2014-05-30,73.4204,0.07387493856918859,7.387493856918859
Aditya Birla Sun Life Nifty 50 ETF,June,2014-06-30,77.5015,0.05558536864413699,5.558536864413699
Aditya Birla Sun Life Nifty 50 ETF,July,2014-07-31,79.0815,0.020386702192860984,2.0386702192860984
Aditya Birla Sun Life Nifty 50 ETF,August,2014-08-28,81.6494,0.03247156414584951,3.2471564145849507
Aditya Birla Sun Life Nifty 50 ETF,September,2014-09-30,81.7538,0.00127863768747849,0.127863768747849
Aditya Birla Sun Life Nifty 50 ETF,October,2014-10-31,85.3371,0.04383037852674754,4.383037852674754
Aditya Birla Sun Life Nifty 50 ETF,November,2014-11-28,88.0413,0.031688445002232335,3.1688445002232335
Aditya Birla Sun Life Nifty 50 ETF,December,2014-12-31,84.8872,-0.03582523202178978,-3.5825232021789777
Aditya Birla Sun Life Nifty 50 ETF,January,2015-01-30,90.3854,0.06477066035868773,6.477066035868773
Aditya Birla Sun Life Nifty 50 ETF,February,2015-02-27,90.6405,0.0028223584782498534,0.28223584782498534
Aditya Birla Sun Life Nifty 50 ETF,March,2015-03-31,87.3039,-0.036811359160640156,-3.6811359160640156
Aditya Birla Sun Life Nifty 50 ETF,April,2015-04-30,84.1681,-0.035918212130271465,-3.5918212130271465
Aditya Birla Sun Life Nifty 50 ETF,May,2015-05-29,86.7513,0.03069096249053982,3.069096249053982
Aditya Birla Sun Life Nifty 50 ETF,June,2015-06-30,86.5186,-0.002682380552222252,-0.2682380552222252
Aditya Birla Sun Life Nifty 50 ETF,July,2015-07-31,88.4585,0.022421768267170128,2.242176826717013
Aditya Birla Sun Life Nifty 50 ETF,August,2015-08-31,82.7171,-0.0649050119547584,-6.49050119547584
Aditya Birla Sun Life Nifty 50 ETF,September,2015-09-30,82.5633,-0.0018593495178144126,-0.18593495178144126
Aditya Birla Sun Life Nifty 50 ETF,October,2015-10-30,83.83,0.015342167767034454,1.5342167767034454
Aditya Birla Sun Life Nifty 50 ETF,November,2015-11-30,82.676,-0.013765954908743883,-1.3765954908743883
Aditya Birla Sun Life Nifty 50 ETF,December,2015-12-31,82.7276,0.0006241230828776256,0.06241230828776256
Aditya Birla Sun Life Nifty 50 ETF,January,2016-01-29,78.8171,-0.04726959321919166,-4.726959321919166
Aditya Birla Sun Life Nifty 50 ETF,February,2016-02-29,73.015,-0.07361473588853173,-7.3614735888531735
Aditya Birla Sun Life Nifty 50 ETF,March,2016-03-31,80.8861,0.10780113675272207,10.780113675272208
Aditya Birla Sun Life Nifty 50 ETF,April,2016-04-29,82.0184,0.013998696933094745,1.3998696933094745
Aditya Birla Sun Life Nifty 50 ETF,May,2016-05-31,85.4168,0.041434604917920836,4.143460491792084
Aditya Birla Sun Life Nifty 50 ETF,June,2016-06-30,87.0815,0.019489140309634667,1.9489140309634667
Aditya Birla Sun Life Nifty 50 ETF,July,2016-07-29,90.8913,0.043749820570385234,4.374982057038523
Aditya Birla Sun Life Nifty 50 ETF,August,2016-08-31,92.5127,0.017838891070982577,1.7838891070982577
Aditya Birla Sun Life Nifty 50 ETF,September,2016-09-30,90.7898,-0.01862338900496896,-1.862338900496896
Aditya Birla Sun Life Nifty 50 ETF,October,2016-10-28,91.1487,0.003953087241077791,0.39530872410777906
Aditya Birla Sun Life Nifty 50 ETF,November,2016-11-30,86.9444,-0.046125726422867275,-4.612572642286727
Aditya Birla Sun Life Nifty 50 ETF,December,2016-12-30,86.5593,-0.004429267439881257,-0.4429267439881257
Aditya Birla Sun Life Nifty 50 ETF,January,2017-01-31,90.4205,0.04460756960834944,4.460756960834944
Aditya Birla Sun Life Nifty 50 ETF,February,2017-02-28,93.806,0.037441730581007526,3.7441730581007526
Aditya Birla Sun Life Nifty 50 ETF,March,2017-03-31,96.9489,0.033504253459266886,3.3504253459266886
Aditya Birla Sun Life Nifty 50 ETF,April,2017-04-28,98.2731,0.013658741873296298,1.3658741873296298
Aditya Birla Sun Life Nifty 50 ETF,May,2017-05-31,101.6264,0.03412225726063389,3.4122257260633893
Aditya Birla Sun Life Nifty 50 ETF,June,2017-06-30,101.0229,-0.005938417576535238,-0.5938417576535238
Aditya Birla Sun Life Nifty 50 ETF,July,2017-07-31,106.978,0.05894802069629734,5.894802069629734
Aditya Birla Sun Life Nifty 50 ETF,August,2017-08-31,105.4849,-0.01395707528650747,-1.395707528650747
Aditya Birla Sun Life Nifty 50 ETF,September,2017-09-29,104.2042,-0.012141074220101578,-1.2141074220101578
Aditya Birla Sun Life Nifty 50 ETF,October,2017-10-31,110.0147,0.05576070830158475,5.576070830158475
Aditya Birla Sun Life Nifty 50 ETF,November,2017-11-30,108.9705,-0.009491458868678526,-0.9491458868678526
Aditya Birla Sun Life Nifty 50 ETF,December,2017-12-29,112.2813,0.03038253472270025,3.038253472270025
Aditya Birla Sun Life Nifty 50 ETF,January,2018-01-31,117.5624,0.04703454626905801,4.703454626905801
Aditya Birla Sun Life Nifty 50 ETF,February,2018-02-28,112.0072,-0.04725320340517036,-4.725320340517037
Aditya Birla Sun Life Nifty 50 ETF,March,2018-03-28,108.1718,-0.03424244155732836,-3.4242441557328362
Aditya Birla Sun Life Nifty 50 ETF,April,2018-04-30,114.8598,0.061827574284610165,6.1827574284610165
Aditya Birla Sun Life Nifty 50 ETF,May,2018-05-31,114.9632,0.0009002279300502902,0.09002279300502902
Aditya Birla Sun Life Nifty 50 ETF,June,2018-06-29,114.9408,-0.00019484495908261845,-0.019484495908261845
Aditya Birla Sun Life Nifty 50 ETF,July,2018-07-31,122.0453,0.061810079623597636,6.181007962359764
Aditya Birla Sun Life Nifty 50 ETF,August,2018-08-31,125.7357,0.030237952629064813,3.0237952629064813
Aditya Birla Sun Life Nifty 50 ETF,September,2018-09-28,117.7055,-0.06386571196565494,-6.386571196565494
Aditya Birla Sun Life Nifty 50 ETF,October,2018-10-31,112.0289,-0.048227143166632014,-4.822714316663202
Aditya Birla Sun Life Nifty 50 ETF,November,2018-11-30,117.286,0.04692628419988054,4.692628419988054
Aditya Birla Sun Life Nifty 50 ETF,December,2018-12-31,117.2071,-0.0006727145609877194,-0.06727145609877194
Aditya Birla Sun Life Nifty 50 ETF,January,2019-01-31,116.7444,-0.003947713065164171,-0.3947713065164171
Aditya Birla Sun Life Nifty 50 ETF,February,2019-02-28,116.5069,-0.0020343588214937203,-0.20343588214937203
Aditya Birla Sun Life Nifty 50 ETF,March,2019-03-29,125.3754,0.07611995512712122,7.611995512712122
Aditya Birla Sun Life Nifty 50 ETF,April,2019-04-30,126.7264,0.010775638602150028,1.0775638602150028
Aditya Birla Sun Life Nifty 50 ETF,May,2019-05-31,128.7302,0.01581201706984503,1.581201706984503
Aditya Birla Sun Life Nifty 50 ETF,June,2019-06-28,127.5642,-0.00905770363131575,-0.905770363131575
Aditya Birla Sun Life Nifty 50 ETF,July,2019-07-31,120.6204,-0.05443376746767503,-5.443376746767504
Aditya Birla Sun Life Nifty 50 ETF,August,2019-08-30,119.8613,-0.0062932969879059275,-0.6293296987905928
Aditya Birla Sun Life Nifty 50 ETF,September,2019-09-30,124.8285,0.041441232491221225,4.1441232491221225
Aditya Birla Sun Life Nifty 50 ETF,October,2019-10-31,129.4399,0.03694188426521183,3.6941884265211833
Aditya Birla Sun Life Nifty 50 ETF,November,2019-11-29,131.3912,0.015074949841586749,1.5074949841586749
Aditya Birla Sun Life Nifty 50 ETF,December,2019-12-31,132.6149,0.009313409117201132,0.9313409117201132
Aditya Birla Sun Life Nifty 50 ETF,January,2020-01-31,130.4105,-0.016622566544181594,-1.6622566544181594
Aditya Birla Sun Life Nifty 50 ETF,February,2020-02-28,122.1527,-0.06332158836903479,-6.332158836903479
Aditya Birla Sun Life Nifty 50 ETF,March,2020-03-31,93.9418,-0.23094782186558294,-23.094782186558295
Aditya Birla Sun Life Nifty 50 ETF,April,2020-04-30,107.5904,0.14528782714404032,14.52878271440403
Aditya Birla Sun Life Nifty 50 ETF,May,2020-05-29,104.6384,-0.027437392183689235,-2.7437392183689235
Aditya Birla Sun Life Nifty 50 ETF,June,2020-06-30,112.52,0.07532225263383219,7.532225263383219
Aditya Birla Sun Life Nifty 50 ETF,July,2020-07-31,121.1556,0.0767472449342339,7.6747244934233905
Aditya Birla Sun Life Nifty 50 ETF,August,2020-08-31,124.7729,0.02985664715456826,2.985664715456826
Aditya Birla Sun Life Nifty 50 ETF,September,2020-09-30,123.2846,-0.011928070919246192,-1.1928070919246192
Aditya Birla Sun Life Nifty 50 ETF,October,2020-10-30,127.8262,0.03683833990620089,3.683833990620089
Aditya Birla Sun Life Nifty 50 ETF,November,2020-11-27,142.3889,0.1139257836030485,11.39257836030485
Aditya Birla Sun Life Nifty 50 ETF,December,2020-12-31,153.5348,0.07827787137901887,7.827787137901887
Aditya Birla Sun Life Nifty 50 ETF,January,2021-01-29,149.763,-0.02456641751576827,-2.456641751576827
Aditya Birla Sun Life Nifty 50 ETF,February,2021-02-26,159.8205,0.06715610664850469,6.715610664850469
Aditya Birla Sun Life Nifty 50 ETF,March,2021-03-31,161.6661,0.011547955362422258,1.1547955362422258
Aditya Birla Sun Life Nifty 50 ETF,April,2021-04-30,161.0822,-0.003611765237115261,-0.3611765237115261
Aditya Birla Sun Life Nifty 50 ETF,May,2021-05-31,171.8494,0.06684289139333832,6.684289139333832
Aditya Birla Sun Life Nifty 50 ETF,June,2021-06-30,173.7889,0.011286044641412918,1.1286044641412918
Aditya Birla Sun Life Nifty 50 ETF,July,2021-07-30,174.543,0.004339172409745462,0.4339172409745462
Aditya Birla Sun Life Nifty 50 ETF,August,2021-08-31,189.7647,0.087208882624912,8.7208882624912
Aditya Birla Sun Life Nifty 50 ETF,September,2021-09-30,195.223,0.028763516080704266,2.8763516080704266
Aditya Birla Sun Life Nifty 50 ETF,October,2021-10-29,196.0611,0.004293039242302399,0.4293039242302399
Aditya Birla Sun Life Nifty 50 ETF,November,2021-11-30,18.8529,-0.9038417105687971,-90.38417105687971
Aditya Birla Sun Life Nifty 50 ETF,December,2021-12-31,19.2696,0.0221027003803127,2.21027003803127
Aditya Birla Sun Life Nifty 50 ETF,January,2022-01-31,19.2581,-0.0005967949516337834,-0.05967949516337834
Aditya Birla Sun Life Nifty 50 ETF,February,2022-02-28,18.6853,-0.029743328781136058,-2.974332878113606
Aditya Birla Sun Life Nifty 50 ETF,March,2022-03-31,19.4335,0.04004217218883288,4.004217218883288
Aditya Birla Sun Life Nifty 50 ETF,April,2022-04-29,19.0373,-0.020387475236061436,-2.0387475236061436
Aditya Birla Sun Life Nifty 50 ETF,May,2022-05-31,18.5338,-0.02644807824638995,-2.644807824638995
Aditya Birla Sun Life Nifty 50 ETF,June,2022-06-30,17.6622,-0.04702759283039637,-4.7027592830396365
Aditya Birla Sun Life Nifty 50 ETF,July,2022-07-29,19.2366,0.08913951829330435,8.913951829330436
Aditya Birla Sun Life Nifty 50 ETF,August,2022-08-30,19.9497,0.03706996038801047,3.706996038801047
Aditya Birla Sun Life Nifty 50 ETF,September,2022-09-30,19.2011,-0.0375243738001072,-3.7524373800107202
Aditya Birla Sun Life Nifty 50 ETF,October,2022-10-31,20.2528,0.054772903635729175,5.4772903635729175
Aditya Birla Sun Life Nifty 50 ETF,November,2022-11-30,21.0975,0.041707813240638325,4.1707813240638325
Aditya Birla Sun Life Nifty 50 ETF,December,2022-12-30,20.3624,-0.03484299087569609,-3.484299087569609
Aditya Birla Sun Life Nifty 50 ETF,January,2023-01-31,19.8668,-0.02433897772364746,-2.433897772364746
Aditya Birla Sun Life Nifty 50 ETF,February,2023-02-28,19.4791,-0.01951496969819011,-1.951496969819011
Aditya Birla Sun Life Nifty 50 ETF,March,2023-03-31,19.5414,0.003198299716105968,0.3198299716105968
Aditya Birla Sun Life Nifty 50 ETF,April,2023-04-28,20.3426,0.04100013305085626,4.100013305085626
Aditya Birla Sun Life Nifty 50 ETF,May,2023-05-31,20.9245,0.028604996411471406,2.8604996411471406
Aditya Birla Sun Life Nifty 50 ETF,June,2023-06-30,21.6955,0.036846758584434536,3.6846758584434536
Aditya Birla Sun Life Nifty 50 ETF,July,2023-07-31,22.3593,0.030596206586619434,3.0596206586619434
Aditya Birla Sun Life Nifty 50 ETF,August,2023-08-31,21.847,-0.022912166302165082,-2.2912166302165082
Aditya Birla Sun Life Nifty 50 ETF,September,2023-09-29,22.2822,0.019920355197509787,1.9920355197509787
Aditya Birla Sun Life Nifty 50 ETF,October,2023-10-31,21.6706,-0.027447918069131383,-2.7447918069131383
Aditya Birla Sun Life Nifty 50 ETF,November,2023-11-30,22.8808,0.05584524655524081,5.584524655524081
Aditya Birla Sun Life Nifty 50 ETF,December,2023-12-29,24.6953,0.07930229712247816,7.930229712247816
Aditya Birla Sun Life Nifty 50 ETF,January,2024-01-31,24.699,0.00014982608026636868,0.014982608026636868
Aditya Birla Sun Life Nifty 50 ETF,February,2024-02-29,25.023,0.013117939997570716,1.3117939997570716
Aditya Birla Sun Life Nifty 50 ETF,March,2024-03-31,25.414,0.015625624425528617,1.5625624425528617
Aditya Birla Sun Life Nifty 50 ETF,April,2024-04-30,25.7292,0.01240261273313914,1.240261273313914
Aditya Birla Sun Life Nifty 50 ETF,May,2024-05-31,25.7345,0.0002059916359622438,0.02059916359622438
Aditya Birla Sun Life Nifty 50 ETF,June,2024-06-28,27.4678,0.0673531640404903,6.73531640404903
Aditya Birla Sun Life Nifty 50 ETF,July,2024-07-31,28.5605,0.03978112553608226,3.9781125536082262
Aditya Birla Sun Life Nifty 50 ETF,August,2024-08-30,28.9474,0.01354668160571415,1.354668160571415
Aditya Birla Sun Life Nifty 50 ETF,September,2024-09-30,29.6035,0.022665248001547678,2.2665248001547678
Aditya Birla Sun Life Nifty 50 ETF,October,2024-10-31,27.7923,-0.061181954836421304,-6.118195483642131
Aditya Birla Sun Life Nifty 50 ETF,November,2024-11-29,27.7204,-0.002587047491571348,-0.2587047491571348
Aditya Birla Sun Life Nifty 50 ETF,December,2024-12-31,27.1608,-0.020187298884576044,-2.0187298884576044
Aditya Birla Sun Life Nifty 50 ETF,January,2025-01-31,27.0388,-0.0044917675473475915,-0.44917675473475915
Aditya Birla Sun Life Nifty 50 ETF,February,2025-02-28,25.4746,-0.057850200452682854,-5.785020045268285
Aditya Birla Sun Life Nifty 50 ETF,March,2025-03-31,27.0792,0.06298823141482113,6.298823141482113
Aditya Birla Sun Life Nifty 50 ETF,April,2025-04-30,28.0215,0.034797926083488306,3.4797926083488306
Aditya Birla Sun Life Nifty 50 ETF,May,2025-05-30,28.5596,0.01920311189622259,1.920311189622259
Aditya Birla Sun Life Nifty 50 ETF,June,2025-06-30,29.5188,0.03358590456448973,3.3585904564489732
Aditya Birla Sun Life Nifty 50 ETF,July,2025-07-31,28.703,-0.027636624795045805,-2.7636624795045805
Aditya Birla Sun Life Nifty 50 ETF,August,2025-08-29,28.3555,-0.012106748423509783,-1.2106748423509783
Aditya Birla Sun Life Nifty 50 ETF,September,2025-09-30,28.5716,0.007621096436317476,0.7621096436317476
Aditya Birla Sun Life Nifty 50 ETF,October,2025-10-31,29.8901,0.04614722311666131,4.614722311666131
Aditya Birla Sun Life Nifty 50 ETF,November,2025-11-28,30.4607,0.01908993278711013,1.908993278711013
Aditya Birla Sun Life Nifty 50 ETF,December,2025-12-31,30.3873,-0.002409662286158909,-0.2409662286158909
Aditya Birla Sun Life Nifty 50 ETF,January,2026-01-30,29.4637,-0.03039427655632454,-3.039427655632454
Aditya Birla Sun Life Nifty 50 ETF,February,2026-02-27,29.3125,-0.005131738376374928,-0.5131738376374928
Aditya Birla Sun Life Nifty 50 ETF,March,2026-03-31,25.9995,-0.11302345415778248,-11.302345415778248
Aditya Birla Sun Life Nifty 50 ETF,April,2026-04-30,27.945,0.0748283620838861,7.48283620838861
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,January,2013-01-31,58.9003,,
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,February,2013-02-28,55.5521,-0.056845211314713096,-5.6845211314713096
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,March,2013-03-28,55.4902,-0.0011142693075509857,-0.11142693075509857
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,April,2013-04-30,57.7381,0.0405098557943564,4.05098557943564
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,May,2013-05-31,58.4525,0.012373112381598883,1.2373112381598883
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,June,2013-06-28,57.1354,-0.02253282579872551,-2.253282579872551
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,July,2013-07-31,56.3874,-0.013091708467955043,-1.3091708467955043
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,August,2013-08-30,53.7267,-0.04718607348450188,-4.718607348450188
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,September,2013-09-30,56.3984,0.04972760284923505,4.972760284923505
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,October,2013-10-31,61.7311,0.09455410082555527,9.455410082555527
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,November,2013-11-29,60.5197,-0.019623820084203825,-1.9623820084203825
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,December,2013-12-31,61.7405,0.02017194401161926,2.017194401161926
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,January,2014-01-31,59.5983,-0.03469683595047002,-3.4696835950470017
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,February,2014-02-28,61.4264,0.03067369371274009,3.067369371274009
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,March,2014-03-31,65.5856,0.06771030045713244,6.771030045713244
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,April,2014-04-30,65.4593,-0.0019257275987412115,-0.19257275987412115
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,May,2014-05-30,70.6988,0.08004210249727706,8.004210249727706
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,June,2014-06-30,74.0852,0.047898974240015324,4.789897424001532
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,July,2014-07-31,75.4256,0.018092682479091682,1.8092682479091682
