Fund_Name,Fund_Type,Monthly_Alpha (%),Annualized_Alpha (%),Beta_Market,Beta_SMB,Beta_HML,Beta_WML,R2,Alpha_tStat,Alpha_pValue,Num_Observations,Expense_Ratio,Sharpe_Ratio,CAGR (%)
Aditya Birla Sun Life Large Cap Fund - Direct Plan,Active,0.21177153620119218,2.5710675163673757,0.9236991745538763,-0.06806109726653656,-0.018611601299393276,-0.14280589185900278,0.885573522869812,1.5540945928091356,0.12016185481976738,155,0.95,0.5817573540652161,14.86861124339367
Axis Large Cap Fund - Direct Plan,Active,0.17968699460667292,2.1776817832057205,0.8705983020104837,-0.10833538854304658,-0.08368135461000234,-0.06115962784692991,0.7830452802324306,1.014286551056156,0.3104460395334806,155,0.65,0.6006635882527038,14.588178437863352
Bajaj Finserv Large Cap Fund - Direct Plan,Active,0.48944943538194363,6.034111514142126,0.9098685444433459,-0.26208392577624795,-0.26805874663124013,-0.015973556311062433,0.9532783408395643,1.86970384490756,0.06152495530604173,16,2.17,-0.1329823173051157,3.21199035337687
Bandhan Large Cap Fund - Direct Plan,Active,0.07129498224284864,0.8589025354760249,0.9581483157423651,-0.11103769840059279,-0.08633687927020421,-0.06766256319747639,0.8805932644351334,0.506066982173175,0.612809628388354,155,1.18,0.5362209831184466,13.803702003553653
Bank of India Large Cap Fund - Direct Plan,Active,0.1254817559793226,1.5162168051154001,0.9502755893370772,-0.15217098372627888,-0.14947166994773264,0.0015883478840588924,0.8972046786931529,0.6033410889089558,0.5462818039429169,53,1.02,0.5408725123472424,13.133274344231417
Baroda BNP Paribas Large Cap Fund - Direct Plan,Active,0.3799572510022074,4.655986726743566,0.8295957189980139,-0.20251885185911261,-0.09223914254470439,-0.03480554709357757,0.9132457262324001,2.1309278695500233,0.033095084988358205,45,0.79,0.7222807050437867,15.37284257288909
Canara Robeco Large Cap Fund - Direct Plan,Active,0.18074716396410342,2.1906583003952873,0.9001479706370797,-0.09378091436477605,-0.0495133136475914,-0.06437803743950365,0.8639908617555854,1.306297862910769,0.19145128359511943,155,0.59,0.6346163456322537,15.22487501153147
DSP Large Cap Fund - Direct Plan,Active,0.018853854863271652,0.2264810146409335,0.9786788437525404,-0.03890060411021927,-0.03132589792460365,-0.11610746210435982,0.8298898143956991,0.0967989983085057,0.922886019434217,155,1.57,0.4460784523527828,12.873755088671345
Edelweiss Large Cap Fund - Direct Plan,Active,0.17440418869421143,2.1130425315210477,0.9533782514540894,-0.07064597762986084,-0.06501486790231606,-0.07696481160367857,0.8723655917818646,1.1779522643521312,0.23881563730536493,155,0.67,0.6073965856768485,15.20437642355792
Franklin India Large Cap Fund - Direct Plan,Active,0.11218889277134314,1.354604846334384,0.8810825468081964,-0.09338684259096573,0.010360459577866969,-0.16180332491633478,0.8400741665164171,0.707761117866368,0.4790936159540714,155,1.55,0.4797045146245632,13.086067509830034
Groww Large Cap Fund - Direct Plan,Active,-0.0353862339089544,-0.423809338491421,0.9297049556822372,-0.06737339957672242,-0.01018920461214395,-0.044134149512813886,0.8300568946888633,-0.21103353300024402,0.8328611049943346,155,1.37,0.48270232896908544,13.144308942910655
HDFC Large Cap Fund - Direct Plan,Active,0.09988591412006186,1.2052378928374852,0.9303606113671197,-0.0954832371585709,0.09597617237381248,-0.15452886031241192,0.8386694427942801,0.5512991915148583,0.5814285926283416,155,1.36,0.504281410367807,14.16615654051605
HSBC Large Cap Fund - Direct Plan,Active,0.07059813377990162,0.8504748624486247,0.9588098002098474,-0.07902820158935053,-0.054968537084903846,-0.1072715353332442,0.8591820651834372,0.4425046449840358,0.6581240697906273,155,1.2,0.4952991664137272,13.436279102132676
ICICI Prudential Large Cap Fund - Direct Plan,Active,0.25858343065432654,3.147514934179396,0.8765687994393925,-0.0925914628666053,0.02016674384439314,-0.11489583575944996,0.8874223592142044,2.0311304654628026,0.042241761727875055,155,1.2,0.6665197446177005,15.960856089380627
ITI Large Cap Fund - Direct Plan,Active,0.03147690720726079,0.3783774982450083,0.8928838019018726,-0.1684300664701785,-0.007559119128270865,-0.14382795484698924,0.8593897697773794,0.14735725826143953,0.8828500401335138,60,0.76,0.6772569505082989,14.593124517296685
