Passive_Fund,Passive_ER,Passive_Monthly_Alpha,Passive_Annual_Alpha,Active_Partner,Active_ER,Active_Monthly_Alpha,Active_Annual_Alpha,ER_Difference,Alpha_Diff_Monthly
HDFC BSE Sensex Index Fund - Direct Plan,0.21,0.130602732520573,1.5785396126446694,Edelweiss Large Cap Fund - Direct Plan,0.67,0.1744041886942114,2.1130425315210477,0.46,0.0438
Motilal Oswal Nifty 50 Index Fund - Direct Plan,0.19,0.0195232554109329,0.2345307926658213,Axis Large Cap Fund - Direct Plan,0.65,0.1796869946066729,2.1776817832057205,0.46,0.1602
Bandhan Nifty 50 Index Fund - Direct Plan,0.12,0.0764619012413433,0.921411305210218,Canara Robeco Large Cap Fund - Direct Plan,0.59,0.1807471639641034,2.1906583003952873,0.47,0.1043
UTI Nifty 50 Index Fund - Direct Plan,0.26,0.0808172184666175,0.9741289945230048,Mahindra Manulife Large Cap Fund - Direct Plan,0.74,0.0952690920012762,1.1492384597714178,0.48,0.0145
SBI Nifty Index Fund - Direct Plan,0.23,0.0653182622023182,0.7866411601290757,Invesco India Largecap Fund - Direct Plan,0.8,0.2008764152854915,2.4373279964704286,0.57,0.1356
ICICI Prudential BSE Sensex Index Fund - Direct Plan,0.2,0.2514102978624248,3.058991871275807,Mirae Asset Large Cap Fund - Direct Plan,0.8,0.2791955900130791,3.4022760121168005,0.6,0.0278
Nippon India Index Fund - Nifty 50 Plan - Direct Plan,0.17,-0.0899081830429528,-1.0735790554724622,Baroda BNP Paribas Large Cap Fund - Direct Plan,0.79,0.3799572510022074,4.655986726743566,0.62,0.4699
DSP Nifty 50 Index Fund - Direct Plan,0.18,0.1154052934925762,1.3936875561001427,SBI Large Cap Fund - Direct Plan,0.82,0.2817393387926928,3.4337560548461488,0.64,0.1663
LIC MF BSE Sensex ETF,0.11,0.2259499721775781,2.745349979616174,ITI Large Cap Fund - Direct Plan,0.76,0.0314769072072607,0.3783774982450083,0.65,-0.1945
Kotak Nifty 50 ETF,0.03,-0.1693381837741308,-2.0132388504020104,Sundaram Large Cap Fund - Direct Plan,0.71,0.1598084511740109,1.934647095617992,0.68,0.3291
